rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,day,month,year,given_name_soundex,given_name_nysiis,surname_soundex,surname_nysiis,match_id
rec-1070-org,michaela,neumann,8,stanley street,miami,winston hills,4223,nsw,11,11,1915,M240,MACAL,N550,NANAN,1070
rec-1016-org,courtney,painter,12,pinkerton circuit,bega flats,richlands,4560,vic,14,12,1916,C635,CARTNY,P536,PANTAR,1016
rec-4405-org,charles,green,38,salkauskas crescent,kela,dapto,4566,nsw,30,09,1948,C642,CARL,G650,GRAN,4405
rec-1288-org,vanessa,parr,905,macquoid place,broadbridge manor,south grafton,2135,sa,19,11,1995,V520,VANAS,P600,PAR,1288
rec-3585-org,mikayla,malloney,37,randwick road,avalind,hoppers crossing,4552,vic,08,02,1986,M240,MACAYL,M450,MALANY,3585
rec-298-org,blake,howie,1,cutlack street,belmont park belted galloway stud,budgewoi,6017,vic,01,03,1925,B420,BLAC,H000,HAOY,298
rec-1985-org,,lund,109,caley crescent,allandale aged care facility,mill park,4053,nsw,02,09,1918,,,L530,LAD,1985
rec-2404-org,blakeston,broadby,53,traeger street,valley of springs,north ward,3083,qld,07,09,1912,B422,BLACASTAN,B631,BRADBY,2404
rec-1473-org,,leslie,925,carpenter close,,canterbury,2340,vic,08,06,1995,,,L240,LASLY,1473
rec-453-org,edward,denholm,10,corin place,gold tyne,clayfield,4221,vic,06,03,1966,E363,EDWAD,D545,DANALN,453
rec-4866-org,charlie,alderson,266,hawkesbury crescent,deergarden caravn park,cooma,4128,vic,08,09,1944,C640,CARLY,A436,ALDARSAN,4866
rec-4302-org,molly,roche,59,willoughby crescent,donna valley,carrara,4825,nsw,12,07,1920,M400,MALY,R200,RAC,4302
rec-383-org,angus,mcgregor,1,,rosetta village,chelsea heights,3020,wa,09,04,1917,A522,ANG,M262,MCGRAGAR,383
rec-420-org,kate,stephenson,8,sinclair street,brentwood vlge,ryde,5333,sa,12,10,1905,K300,CAT,S315,STAFANSAN,420
rec-3440-org,matthew,bissett,11,cowcher place,kassingbrook,surfers paradise,4037,vic,07,11,1912,M300,MATAE,B230,BASAT,3440
rec-4028-org,lachlan,godfrey,45,lienhop street,sorrento,lalor,2350,sa,29,04,1908,L245,LACLAN,G316,GADFRY,4028
rec-1363-org,campbell,clarke,14,wootton crescent,the manor garden,northmead,3265,vic,10,06,1922,C514,CANPBAL,C462,CLARC,1363
rec-4641-org,jessica,weller,318,bishopbourne court,lismore road,padstow,2191,nsw,19,09,1960,J220,JASAC,W460,WALAR,4641
rec-1300-org,joshua,corbin,83,tweed place,five oaks,keilor,4818,nsw,18,10,1972,J200,JAS,C615,CARBAN,1300
rec-4178-org,caitlin,basey,414,pelsart street,st francis vlge,daisy hill,2113,nsw,11,07,1911,C345,CATLAN,B200,BASY,4178
rec-4303-org,alessandra,stanley,9,araluen street,bombowlee,avoca,3104,qld,25,03,1994,A425,ALASANDR,S354,STANLY,4303
rec-1280-org,francesco,cannell,5,ngunawal drive,whispering pines,brighton,7320,nsw,19,02,1990,F652,FRANCASC,C540,CANAL,1280
rec-4137-org,liam,schwaz,1005,elvire place,narada,bronte,2137,tas,24,03,1947,L500,LAN,S200,SW,4137
rec-1054-org,benjamin,capel,177,clive steele avenue,spq camp,woongarra,4207,qld,22,05,1909,B525,BANJANAN,C140,CAPAL,1054
rec-1826-org,kynan,dooley,92,mcintyre street,apt 27,woollahra,6021,qld,24,09,1931,K550,CYNAN,D400,DALY,1826
rec-780-org,harrison,boulter,9,macgregor street,stonyridge,cecil plains,3070,nsw,12,03,1911,H625,HARASAN,B436,BALTAR,780
rec-85-org,joselyn,dakin,19,abernethy street,kanangra hostel,manunda,3028,wa,05,12,1926,J245,JASALYN,D250,DACAN,85
rec-201-org,claudia,huxley,108,crease place,edellen,north ryde,2464,vic,20,10,1944,C430,CLAD,H240,HAXLY,201
rec-4878-org,,lowry,6,hadleigh circuit,rowethorpe,rossmoyne,2770,sa,08,07,1935,,,L600,LAORY,4878
rec-4098-org,lily,warnock,68,darling street,jeran,exton,2154,nsw,20,05,1962,L400,LALY,W652,WARNAC,4098
rec-2330-org,sebastian,mcneill,3,dryandra street,ferndale,west lakes,2265,vic,,,,S123,SABASTAN,M254,MCNAL,2330
rec-4663-org,ellouise,domingo,36,leach street,plain view,frankston,6062,nsw,25,11,1914,E420,ELAS,D552,DANANG,4663
rec-214-org,danielle,webb,33,max henry crescent,willows trees,corio,2077,nsw,11,12,1971,D540,DANAL,W100,WAB,214
rec-537-org,maliah,clarke,26,broadbent street,harlyn,tara,6151,sa,31,03,1952,M400,MAL,C462,CLARC,537
rec-485-org,patrick,george,1,coxen street,belleview,urangan,4051,nsw,29,11,1937,P362,PATRAC,G620,GARG,485
rec-2492-org,aidan,banham,8,rowntree crescent,locn 8774,tallebudgera,2284,wa,30,08,1928,A350,ADAN,B550,BANAN,2492
rec-2950-org,cade,newport,0,britten-jones drive,the park,warnbro,2261,qld,,,,C300,CAD,N163,NAEPAD,2950
rec-417-org,adam,smithson,4,newman morris circuit,medical centre,springwood,2087,nsw,06,10,1918,A350,ADAN,S532,SNATSAN,417
rec-2189-org,nathan,sells,2,vickery street,yachting towers,magill,3223,nsw,01,07,1924,N350,NATAN,S420,SAL,2189
rec-2581-org,katelin,dent,29,sugarloaf circuit,wildefell,windsor,4503,qld,17,05,1928,K345,CATALAN,D530,DAD,2581
rec-3095-org,billy,gigney,382,westall place,willaroo,moree,2037,qld,24,08,1913,B400,BALY,G250,GAGNY,3095
rec-1744-org,tiffany,green,32,sid barnes crescent,dudley specialist medical centre,wingfield,2027,qld,28,03,1986,T150,TAFANY,G650,GRAN,1744
rec-1234-org,samuel,heidrich,7,mcgivern crescent,el-woodaro,highbury,3053,act,25,05,1971,S540,SANAL,H362,HADRAC,1234
rec-3054-org,brooke,harrington,88,marcus clarke street,campaspe,lockleys,3042,wa,23,01,1991,B620,BRAC,H652,HARANGTAN,3054
rec-1611-org,connor,foall,17,lamb place,,kilsyth,3174,qld,27,09,1914,C560,CANAR,F400,FAL,1611
rec-2319-org,keeley,gaskin,128,winder place,chanak,west wyalong,3138,wa,02,07,1955,K400,CALY,G250,GASCAN,2319
rec-1271-org,charlie,zimmermann,68,tebbutt place,nuffield village,carnegie,3104,vic,20,12,1968,C640,CARLY,Z565,ZANARNAN,1271
rec-555-org,harry,manthorpe,19,hodgson crescent,the blackhut,macquarie fields,2756,nsw,05,10,1984,H600,HARY,M536,MANTARP,555
rec-299-org,dylan,blacklow,7,stenhouse close,flr 5 john flynn medical centre,vermont,2538,nsw,22,02,1939,D450,DYLAN,B424,BLACLAO,299
rec-3556-org,cooper,girdler,9,arid place,,burwood,2577,vic,27,03,1963,C160,CAPAR,G634,GARDLAR,3556
rec-1627-org,caitlin,bevis,46,smith street,grammar school,hawthorn,4878,nsw,11,10,1960,C345,CATLAN,B120,BAF,1627
rec-4291-org,john,homann,27,sid barnes crescent,king river palms c8,cranbourne,5159,nsw,27,10,1946,J500,JAN,H550,HANAN,4291
rec-1155-org,jessica,mayer,25,dugan street,willandra,mittagong,6056,sa,01,02,1934,J220,JASAC,M600,MAYAR,1155
rec-4659-org,liam,hemmings,4425,mimosa close,kinloch court,lockleys,3850,nsw,23,10,1905,L500,LAN,H552,HANANG,4659
rec-4269-org,rebecca,coppock,3,homeleigh wallaroo road,tinaroo falls,embleton,6152,vic,14,04,1944,R120,RABAC,C120,CAPAC,4269
rec-1185-org,heather,benger,8,fergusson crescent,palazz,currajong,2650,wa,03,08,1984,H360,HATAR,B526,BANGAR,1185
rec-2439-org,isabelle,beattie,19,southern close,gulmarrad street,stanley,2615,vic,03,03,1946,I214,ISABAL,B300,BATY,2439
rec-2544-org,callum,mahon,79,mcintosh street,boronia,slacks creek,2145,nsw,09,09,1904,C450,CALAN,M500,MAHAN,2544
rec-4891-org,charlotte,donaldson,3,federal highway,allamby biala street,kilcunda,4703,nsw,08,12,1954,C643,CARLAT,D543,DANALDSAN,4891
rec-1459-org,tiana,lionis,207,holroyd street,jewells medical centre,pennant hills,3463,qld,24,04,1999,T500,TAN,L520,LAN,1459
rec-1952-org,livia,swetnam,73,stapylton street,kanjara,roxburgh park,2212,qld,29,03,1979,L100,LAV,S355,SWATNAN,1952
rec-3674-org,thomas,monis,30,schofield place,duck creek,terrey hills,2145,nsw,31,03,1962,T520,TAN,M520,MAN,3674
rec-4054-org,,dojcic,15,barraclough crescent,brookvale,tolga,2025,qld,31,03,1999,,,D220,DAJCAC,4054
rec-4484-org,alexandra,clarke,15,parnell road,rsdb 284,nedlands,4014,sa,08,06,1989,A425,ALAXANDR,C462,CLARC,4484
rec-2495-org,ella,malzard,4,namatjira drive,tolemac,armidale,4220,nsw,12,11,1938,E400,EL,M426,MALSAD,2495
rec-1157-org,matilda,kubenk,35,arabana street,carrington retrmnt vlge,revesby,2122,nsw,31,12,1990,M343,MATALD,K152,CABANC,1157
rec-3472-org,timothy,moujalli,14,cobby street,,christies beach,2617,qld,19,07,1991,T530,TANATY,M240,MAJAL,3472
rec-1150-org,benjamin,lovelock,1,tanumbirini street,apmnt 203,willetton,4570,nsw,28,06,1998,B525,BANJANAN,L142,LAVALAC,1150
rec-4410-org,destynii,hope,24,barunga street,villa 3,st peters,4061,nsw,30,04,1921,D235,DASTYN,H100,HAP,4410
rec-3964-org,brianna,ryan,7,bingham circuit,beltunga,highett,6330,qld,16,03,1931,B650,BRAN,R500,RYAN,3964
rec-3020-org,madison,herbert,14,cowie place,old post office,glenmore park,2680,nsw,05,01,1995,M325,MADASAN,H616,HARBAD,3020
rec-2115-org,pearson,shepherd,13,de graaff street,springdale,beverly hills,2650,vic,17,05,1932,P625,PARSAN,S163,SAFAD,2115
rec-2432-org,isaiah,warde,61,mcphail place,sunbury,bonnyrigg,3929,vic,11,01,1909,I200,IS,W630,WARD,2432
rec-2740-org,imogen,kiosses,2,quandong street,overnewton,arundel,5024,sa,02,10,1975,I525,INAGAN,K220,CAS,2740
rec-4792-org,julia,meadows,18,araluen street,st john of god hospital,crows nest,3174,nsw,18,08,1916,J400,JAL,M320,MADAO,4792
rec-3756-org,lucinda,burrill,31,bamir square,corridella,inglewood,4557,qld,11,12,1947,L253,LACAND,B640,BARAL,3756
rec-215-org,caleb,roberts-yates,40,millpost close,bandera,cobar,3500,qld,14,09,1967,C410,CALAB,R163,RABARTSYAT,215
rec-391-org,noah,mason,29,william hudson crescent,court units,elwood,3155,sa,15,02,1950,N000,N,M250,MASAN,391
rec-3897-org,ella,estcourt,12,gellatly place,mayfair,braddon,3850,nsw,14,08,1909,E400,EL,E232,ESTCAD,3897
rec-18-org,riley,kerr-sullivan,166,clem hill street,mindaree,oyster bay,7325,vic,29,04,1909,R400,RALY,K624,CARSALAVAN,18
rec-3590-org,nasyah,reid,14,groom street,warrina lakes,goonellabah,2775,nsw,13,08,1985,N200,NASY,R300,RAD,3590
rec-3327-org,ella,browne,35,tanjil loop,cedarview,berkeley vale,4564,qld,26,07,1948,E400,EL,B650,BRAON,3327
rec-3798-org,michael,cochrane,7,monaro crescent,ballarkona,hendra,4128,qld,16,10,1936,M240,MACAL,C265,CACRAN,3798
rec-2029-org,benjamin,cassimatis,23,,yacklin,thornleigh,6006,nsw,,,,B525,BANJANAN,C253,CASANAT,2029
rec-2686-org,imogen,white,12,macrossan crescent,peridon vlge,mount isa,2088,nsw,28,05,1958,I525,INAGAN,W300,WAT,2686
rec-1807-org,maya,nevin,351,rapanea street,chelsea house,evanston,2033,,04,02,1922,M000,MAY,N150,NAFAN,1807
rec-1506-org,madeleine,bradshaw,90,burkitt street,mindaree,tuart hill,3300,nsw,20,07,1918,M345,MADALAN,B632,BRADS,1506
rec-1614-org,jack,moscatt,15,hosking place,,st kilda east,2600,vic,18,12,1961,J200,JAC,M230,MASCAT,1614
